ActivityName_lang,Description_lang,ID,CriteriaTreeID,ThresholdContributionAmount
Complete 30 Quests,,3,135693,200
Defeat 50 Dungeon Bosses,Defeat dungeon bosses that grant experience.,4,135695,200
Complete 5 Mythic+ Dungeons,,6,135699,200
Complete 15 World Quests,,7,136176,150
Kill 10 Dragonflight Raid Bosses,,8,136202,200
Earn 7500 Honor,,10,136220,200
Win 5 Battlegrounds,,11,136222,200
Win 10 Non-Skirmish Arena Matches,,12,136224,200
Fulfill Crafting Orders,Speak to a Crafting Orders Clerk in Valdrakken's Artisan's Market to access Crafting Orders.,13,136242,200
Win 15 Pet Battles,,14,136244,200
Defeat 25 Dungeon Bosses in a Cross-Faction Group,Defeat dungeon bosses that grant experience.,16,136248,150
Defeat Dragon Isles Master Tamers With Dragonkin Pets,Defeat 2 Dragon Isles Master Tamers with a lineup of at least 2 Dragonkin pets,40,137543,200
Use Happy Pet Snacks,Happy Pet Snacks can be purchased at the Pet Supply vendor in Dalaran.,42,137615,100
Love is in the Air: Use Peddlefeet's Hearthstone in the Dragon Isles,From 2/6 - 2/20 use Peddlefeet's Hearthstone in the Dragon Isles.,43,137617,150
Love is in the Air: Have a Romantic Picnic in the Ohn'ahran Plains,From 2/6 - 2/20 use a Romantic Picnic Basket in the Ohn'ahran Plains.,44,137619,150
"Love is in the Air: Complete ""Bonbon Blitz""","From 2/6 - 2/20 complete the quest ""Bonbon Blitz.""",45,137621,150
Love is in the Air: Kill Apothecary Hummel,From 2/6 - 2/20 kill Apothecary Hummel in Shadowfang Keep.,46,137623,150
Love is in the Air: Present a Lovely Charm Bracelet,From 2/6 - 2/20 present a Lovely Charm Bracelet to one of your faction leaders.,47,137625,150
/hug A Dead Player,Emote /hug a dead player.,48,137634,50
Resurrect Players,,49,137636,50
Imbibe Zanzil's Slow Poison,,50,137645,50
"Earn 5,000 gold from auctions in the Auction House",,52,137647,100
"Eat a Chocolate Cake Slice, Lovely Cake Slice, and Berry Pie Slice",,53,137651,50
Hatching of the Hippogryphs: Get a Hatchling to Perch on You,On 2/23 get a Frayfeather Hatchling to perch on your shoulder.,54,137655,150
Hatching of the Hippogryphs: Obtain and use a Spectral Feather,On 2/23 obtain and use a Spectral Feather.,55,137657,150
Darkmoon Faire: Set Out a Big Berry Pie,From 2/5 - 2/11 set out a Big Berry Pie at the Darkmoon Faire Island.,56,137659,50
Trial of Style: Earn Trial of Style Tokens,From 3/20 - 3/24 earn Trial of Style tokens.,61,137688,100
Obtain a Toy That Gets You Lookin' Good,,64,137776,50
Trial of Style: Cheer on Other Players,From 3/20 - 3/24 emote /cheer for 5 other players in the Trial of Style event.,65,137787,50
"Trial of Style: Use the Spotlight, Dance Floor, and Flames","From 3/20 - 3/24 use the Trial of Style Spotlight, Dance Floor, and Flames during the event.",66,137789,100
Trial of Style: Summon Admirers,From 3/20 - 3/24 summon 3 admirers in the Trial of Style.,67,137793,50
Kill Kael'thas Sunstrider at the Magister's Terrace,,68,137795,150
