ID,Text_lang,Title_lang,ConditionID
3,"The Winter Queen has asked for you to deliver a message to Sire Denathrius, the Master of Revendreth. You will need his help for the coming conflict.",Welcome to Revendreth,0
111,Test,,0
158,"Following an unprovoked assault on Bastion, you were tasked with journeying to Maldraxxus and investigating why the armies of the dead have betrayed their oath to defend the Shadowlands.",Champion of Pain,0
277,"Using a set of blueprints you recovered and the destructive capabilities of the G.M.O.D. at your disposal, you and Gallywix managed to destroy an airship utilized by High Tinker Mekkatorque and set Alliance interests in Drustvar back even further.",,0
602,Cataloger Jakes at the Dragonscale Basecamp has a message for you.,Opening The Door,105296
586,You were informed that Murik in Iskaara wanted to speak to you regarding a tuskarr tribe in The Waking Shores.,The Chieftain's Duty,103125
589,"You learned that Tutaqan--the chieftain and huntmaster of the Uktulut tribe--has been purposefully withdrawing his guards and refusing to let his hunters venture far. Tutaqan dismissed your victory over the Qalashi and retreated to the ottuk holt, leaving you to help the villagers yourself.",,103130
592,"You assisted Tutaqan and Elder Unujaak in performing a ritual to safeguard Ipko's passage to the ancestors. Distraught with grief, Tutaqan left shortly after.",,103133
593,"Encouraged by Elder Unujaak, you found Tutaqan at the overlook above the village and offered to help him. He confided in you that knows he must find a new hunting ottuk and take his place as a leader again but that his grief is preventing him from doing it alone.",,103134
597,Naleidea Rivergleam of the Dragonscale Expedition has a new expedition for you to embark on.,The Sealed Titan Door,103105
599,"Koranos advised you to seek out watcher logs in Valdrakken. The logs revealed the potential location of three stones that could, when combined, unlock the sealed titan door. 

While you were discovering this information Sarkareth, leader of the Sundered Flame, attacked you and stole the logs.",,103358
601,"Back at the Basecamp, Toddy came up with a plan to set up the facility entrance and open the door. However, she said she'd need some time to complete it. Continue working with the Dragonscale Expedition, and Toddy will call for you when she's prepared.",,103361
598,"The Dragonscale Expedition discovered a mysterious sealed titan door in Thaldraszus. After traveling there with Naleidea and Toddy and exploring the area, you were no closer to figuring out how to open it. Naleidea advised you to travel to Valdrakken and speak with Watcher Koranos, to see if he has any information on the sealed facility.",,103356
595,"Someone in the village sounded Tutaqan's hunting horn. You ventured down from the overlook to investigate and learned that the Qalashi, incensed by your earlier victory, had advanced west to boil the river upstream and finish off the tribe more quickly.",,103136
594,"You brought several of Uktulut's trained ottuks to Tutaqan to help him find a new hunting companion. After meeting one that displayed a sense of duty that Tutaqan found inspiring, he accepted the ottuk as his companion and named it Qipi.",,103135
587,"After speaking to Murik, you learned that the Uktulut tribe mysteriously fell out of contact with Iskaara in recent weeks. You were tasked with attempting to make contact with them.",,103127
590,"You salvaged lost trading goods from the shallow river and brought them back to Crafter Kuliqa. She began making weapons for Uktulut's hunters and let you test one of the prototypes.

You also helped gather fish from the river for Elder Unujaak. You learned that the nearby Qalashi presence has been steadily heating the river, threatening the Uktulut tribe's main food source.",,103131
608,Alexstrasza and the other dragons leaders shared an ancient artifact with you that Keeper Tyr gave them long ago. Though it was long dormant it now pulsed with magical energy. You took the artifact to Tyrhold where you unlocked the mystery behind why it emanated such power.,The Silver Purpose,104949
606,"A drakonid emissary named Rymek arrived at the Emerald Gardens and earned the trust of the green dragonflight. Through an act of betrayal, he revealed himself as a Primalist, invading the Emerald Dream to search for the nascent World Tree.",Garden of Secrets,104947
591,"After noticing your good deeds, Tutaqan revealed that he had been neglecting his duties because his hunting companion, an ottuk named Ipko, had recently gone missing along with several others. 

You helped the chieftain search for Ipko near the Qalashi's territory and found her slain. You returned her body to the Tutaqan.",,103132
607,"Now that Malfurion Stormrage has taken Ysera's place in Ardenweald, the former green Aspect has returned to the Emerald Dream. We have reunited the green dragonflight and defeated Rymek. Growing in power, Merithra now leads as the new Dreamer.",The Dreamer,104948
600,"Upon returning to Naleidea and Toddy, you were tasked with hunting down and retrieving the three stones before Sarkareth and the Sundered Flame could claim them.

With the three stones of Tyr collected, unsealing the Titan Facility was within reach. Naleidea and Toddy asked you to meet them back at the Dragonscale Basecamp to discuss the next steps.",,103359
585,"After hearing a brief update on Tyrhold, you and Alexstrasza travelled to Tyrhold. Alexstrasza was unable to reactivate the Mother Oathstone, a failure which greatly pleased the lurking Raszageth.

While Alexstrasza and Razigeth fought, you faced off against the empowered protodrake Ezrigeth. After emerging victorious, Nozdormu arrived and advised we would need to act quickly to stop Raszageth from freeing the other Incarnates.",The Mother Oathstone,101987
588,"The standoffish Uktulut tribe rebuffed you and refused to let you speak to their chieftain. To prove yourself worthy of their time, you slayed a powerful Qalashi leader at Scalecracker Keep and brought back proof.",,103128
596,"Fighting alongside Tutaqan and Qipi, you slayed Zhurtan the Riverboiler, the Qalashi leader responsible for Uktulut's troubles. You returned to the village victorious.

Tutaqan pledged to protect the village once more, promising that trade would resume with Iskaara and Uktulut would never endure these troubles again.",,103138
603,"The titan facility was successfully unsealed, but the main hall was locked behind an energy barrier. According to Toddy, passing through the ancient titan teleporters in the facility would give you access to override consoles that would bring the barrier down.",,103684
604,"After clearing out the Hall of Samples and the Hall of the Aspects, you were able to unseal the Hall of Records. However, there were more trials to face. Once you navigated the Hall of Records, you were finally able to retrieve titan discs full of valuable information. 

Upon making a hasty escape from the facility, you returned to the Dragonscale Basecamp with Naleidea and Toddy.",,103686
464,"You discovered and awoke Scalecommander Azurathel and several other dracthyr. No one can recall what happened, or why blue dragon magic was used to conjure a stasis. 

How much time has passed? Where is the Earth-Warder, Neltharion, the black dragon who sired the dracthyr?",,100150
463,You awoke from a magical stasis you have no memory of entering. Unstable ruins and shattered memories are your only clues to a life that feels like a vague recollection.,The War Creche,95579
468,"Scalecommander Emberthal blazed on to the scene, exterminating an attacking band of tarasek. She shared the sad news with you and the other scalecommanders that she was the only survivor of her weyrn.

She also imparted wisdom of how evokers like yourself are the elite soldiers of the dracthyr, trained by all five weyrns to be masters of magic and draconic heritage. As such, she had some thoughts on how best to levy your skills to rescue the other creches of dracthyr.",,100158
467,"Escaping the War Creche, you and your fellow dracthyr found yourselves in the overgrown and ruined Old Weyrn Grounds, the ancient training and parade grounds of the dracthyr. 

When investigating a large arcane beacon, you were granted a vision of several similar beacons placed in front of the other creches of the dracthyr. Each is struck by calamity and conflict. 

You also briefly saw a vision of two black dragons high in the sky.",Old Weyrn Grounds,100153
470,"At Scalecommander Viridia's request, you provided aid to the severely injured Healing Wings.

She even asked you to provide healing for the blue drakonid who had been holding the dracthyr prisoner. In doing so, it forced the drakonid to confront their previous expectations of the dracthyr, and even change allegiances.",,100161
472,"You and several others were dispatched to Stormsunder Crater to aid the Ebon Scales. This weyrn of dracthyr specialize in siege magics, yet now find themselves under siege.",The Ebon Scales,100166
465,"Falling back on training, you and the other dracthyr arm yourselves and press towards the exit of the War Creche. Along the way you are joined by Scalecommande Cindrethresh. 

However, the way is barred by a blue dragon and his drakonid minions. Their only purpose for being here seems to prevent the dracthyr from escaping into the world.",,100151
469,"You and Scalecommander Cindrethresh were dispatched to the Caldera of the Menders to see what fate has befallen the Healing Wings.

The Healing Wings are dracthyr specialized in healing and support, though Cindrethresh's primary concern seemed to be for their leader, Scalecommander Viridia.

Upon arrival, you discovered that the Support Creche had been breached and was flooded with toxic gasses from swarms of aggressive beetles. Dracthyr with scarred lungs emerged coughing and barely alive, escaping stasis only to find themselves exposed to a cloud of death.",The Healing Wings,100159
466,"After a pitched battle, you and the dracthyr fight your way past the blue dragon and their minions and escape the War Creche. But the dragon has collapsed the entryway behind you.",,100152
471,"Armed against the toxins, you ventured into the Support Creche to recover survivors, find evidence of what had transpired, and retrieve the horn signet rings of the fallen so that they might be remembered.",,100163
473,"Proto-dragons infused with elemental magic, along with a zealous tauren shaman, seem to be conducting an empowerment ritual. They are preventing the Ebon Scales from escaping their creche.

These enemies, calling themselves Primalists, seek to awaken or free some powerful entity trapped in the Forbidden Reach.",,100169
475,"As the dracthyr prepared to face the Primalists en masse, they were joined by two black dragons who had been observing them from above.

Ebyssian and Wrathion call for a joint effort against the Primalists to prevent them from releasing a powerful entity from an ancient prison within the Froststone Vault.",Froststone Vault,100172
474,"After driving the main Primalist forces from Stormsunder Crater, you were able to rendezvous with the Ebon Scales.

Led by Scalecommander Sarkareth, these dracthyr were enraged by the state of affairs. Despite a reluctance to take any order not directly issued by Neltharion, Sarkareth agreed to assist the rest of the dracthyr against the Primalists.",,100170
476,"You and the combined forces of all five weyrns of the dracthyr and two black dragons attempted to hold your ground against the Primalists at Froststone Vault.

In the end, their numbers proved too great.

Kurog Grimtotem, Grand Summoner of the Primalists, was able to gain access to the Vault and release the being within:

Raszageth, the Storm-Eater.",,100181
477,"Freed from her long captivity, Raszageth the Storm-Eater unleashes a violent tempest that threatens the entire Reach.

You and your allies have no choice but to retreat before her wrath.",Wrath of the Storm-Eater,100182
479,"Your weyrn, the Obsidian Warders, led by Scalecommander Azurathel, followed Wrathion to the Eastern Kingdoms. It is your duty to warn the members of the Alliance about the coming storm.",The Obsidian Warders,100185
478,"The release of Raszageth is felt through the world, drawing forth Nozdormu, the Aspect of Time.

With his magic, the dracthyr are provided the cover they need to escape the Forbidden Reach. Each weyrn scattering in different directions, to different continents, with different intentions.",,100183
533,"While preparing to set sail for the Dragon Isles, Archmage Khadgar arrived with troubling news of Raszageth, a powerful storm proto-dragon who leads the Primalists against the dragonflights.",,102015
532,"Lord Commander Turalyon appointed Toddy Whiskers to co-lead the Dragonscale Expedition, a joint Horde-Alliance effort to explore the Dragon Isles. Together, you helped rally the many skilled scholars, artisans, and explorers needed to ensure the success of the expedition in the Dragon Isles.",,102014
