ID,DeclinedWord,CaseIndex,DeclinedWordID
2732758,"Аберрия, Затененного Горнила",1,396895
2732759,"Аберрию, Затененному Горнилу",2,396895
2732760,"Аберрий, Затененное Горнило",3,396895
2732761,"Аберрием, Затененным Горнилом",4,396895
2732762,"Аберрии, Затененном Горниле",5,396895
2732763,"Аберрий, Затененное Горнило, подвергается",8,396895
2732764,"в Аберрий, Затененное Горнило",9,396895
2732765,"в Аберрии, Затененном Горниле",10,396895
2732766,аберрийского дозорного,1,396896
2732767,аберрийскому дозорному,2,396896
2732768,аберрийского дозорного,3,396896
2732769,аберрийским дозорным,4,396896
2732770,аберрийском дозорном,5,396896
2732771,аберрийского исследователя,1,396897
2732772,аберрийскому исследователю,2,396897
2732773,аберрийского исследователя,3,396897
2732774,аберрийским исследователем,4,396897
2732775,аберрийском исследователе,5,396897
2732776,аберрийского иссушителя,1,396898
2732777,аберрийскому иссушителю,2,396898
2732778,аберрийского иссушителя,3,396898
2732779,аберрийским иссушителем,4,396898
2732780,аберрийском иссушителе,5,396898
2732781,Авогадро,1,396899
2732782,Авогадро,2,396899
2732783,Авогадро,3,396899
2732784,Авогадро,4,396899
2732785,Авогадро,5,396899
2732786,автоматической защитной сферы,1,396900
2732787,автоматической защитной сфере,2,396900
2732788,автоматическую защитную сферу,3,396900
2732789,автоматической защитной сферой,4,396900
2732790,автоматической защитной сфере,5,396900
2732791,агитатора Зоралека,1,396901
2732792,агитатору Зоралеку,2,396901
2732793,агитатора Зоралека,3,396901
2732794,агитатором Зоралеком,4,396901
2732795,агитаторе Зоралеке,5,396901
2732796,агрессивной каменной гадюки,1,396902
2732797,агрессивной каменной гадюке,2,396902
2732798,агрессивную каменную гадюку,3,396902
2732799,агрессивной каменной гадюкой,4,396902
2732800,агрессивной каменной гадюке,5,396902
2732801,агрессивного камнепроходца,1,396903
2732802,агрессивному камнепроходцу,2,396903
2732803,агрессивного камнепроходца,3,396903
2732804,агрессивным камнепроходцем,4,396903
2732805,агрессивном камнепроходце,5,396903
2732806,агрессивного обрушителя,1,396904
2732807,агрессивному обрушителю,2,396904
2732808,агрессивного обрушителя,3,396904
2732809,агрессивным обрушителем,4,396904
2732810,агрессивном обрушителе,5,396904
2732811,Агрула,1,396905
2732812,Агрулу,2,396905
2732813,Агрула,3,396905
2732814,Агрулом,4,396905
2732815,Агруле,5,396905
2732816,адепта серы,1,396906
2732817,адепту серы,2,396906
2732818,адепта серы,3,396906
2732819,адептом серы,4,396906
2732820,адепте серы,5,396906
2732821,Азонаграша,1,396907
2732822,Азонаграшу,2,396907
2732823,Азонаграша,3,396907
2732824,Азонаграшем,4,396907
2732825,Азонаграше,5,396907
2732826,Акация,1,396908
2732827,Акацию,2,396908
2732828,Акация,3,396908
2732829,Акацием,4,396908
2732830,Акации,5,396908
2732831,Аквапо,1,396909
2732832,Аквапо,2,396909
2732833,Аквапо,3,396909
2732834,Аквапо,4,396909
2732835,Аквапо,5,396909
2732836,Аквинана,1,396910
2732837,Аквинану,2,396910
2732838,Аквинана,3,396910
2732839,Аквинаном,4,396910
2732840,Аквинане,5,396910
2732841,Аквифона,1,396911
2732842,Аквифону,2,396911
2732843,Аквифона,3,396911
2732844,Аквифоном,4,396911
2732845,Аквифоне,5,396911
2732846,Акселя,1,396912
2732847,Акселю,2,396912
2732848,Акселя,3,396912
2732849,Акселем,4,396912
2732850,Акселе,5,396912
2732851,Алекстразы Хранительницы жизни,1,396913
2732852,Алекстразе Хранительнице жизни,2,396913
2732853,Алекстразу Хранительницу жизни,3,396913
2732854,Алекстразой Хранительницей жизни,4,396913
2732855,Алекстразе Хранительнице жизни,5,396913
2732856,Алканона,1,396914
2732857,Алканону,2,396914
2732858,Алканона,3,396914
2732859,Алканоном,4,396914
2732860,Алканоне,5,396914
2732861,Аломаза,1,396915
2732862,Аломазу,2,396915
2732863,Аломаза,3,396915
2732864,Аломазом,4,396915
2732865,Аломазе,5,396915
2732866,алхимика,1,396916
2732867,алхимику,2,396916
2732868,алхимика,3,396916
2732869,алхимиком,4,396916
2732870,алхимике,5,396916
2732871,Амадора,1,396917
2732872,Амадору,2,396917
2732873,Амадора,3,396917
2732874,Амадором,4,396917
2732875,Амадоре,5,396917
2732876,Амбры,1,396918
2732877,Амбре,2,396918
2732878,Амбру,3,396918
2732879,Амброй,4,396918
2732880,Амбре,5,396918
2732881,Амиторы,1,396919
2732882,Амиторе,2,396919
2732883,Амитору,3,396919
2732884,Амиторой,4,396919
2732885,Амиторе,5,396919
2732886,амниотической слизи,1,396920
2732887,амниотической слизи,2,396920
2732888,амниотическую слизь,3,396920
2732889,амниотической слизью,4,396920
2732890,амниотической слизи,5,396920
2732891,апатичного слизня,1,396921
2732892,апатичному слизню,2,396921
2732893,апатичного слизня,3,396921
2732894,апатичным слизнем,4,396921
2732895,апатичном слизне,5,396921
2732896,аппетитной улитки,1,396922
2732897,аппетитной улитке,2,396922
2732898,аппетитную улитку,3,396922
2732899,аппетитной улиткой,4,396922
2732900,аппетитной улитке,5,396922
2732901,аркбаллисты закали,1,396923
2732902,аркбаллисте закали,2,396923
2732903,аркбаллисту закали,3,396923
2732904,аркбаллистой закали,4,396923
2732905,аркбаллисте закали,5,396923
2732906,ароматного моллюска,1,396924
2732907,ароматному моллюску,2,396924
2732908,ароматного моллюска,3,396924
2732909,ароматным моллюском,4,396924
2732910,ароматном моллюске,5,396924
2732911,ароматопузыря,1,396925
2732912,ароматопузырю,2,396925
2732913,ароматопузырь,3,396925
2732914,ароматопузырем,4,396925
2732915,ароматопузыре,5,396925
2732916,Аурантии,1,396926
2732917,Аурантии,2,396926
2732918,Аурантию,3,396926
2732919,Аурантией,4,396926
2732920,Аурантии,5,396926
2732921,багровой каменной улитки,1,396927
2732922,багровой каменной улитке,2,396927
2732923,багровую каменную улитку,3,396927
2732924,багровой каменной улиткой,4,396927
2732925,багровой каменной улитке,5,396927
2732926,багрового Прежнего,1,396928
2732927,багровому Прежнему,2,396928
2732928,багрового Прежнего,3,396928
2732929,багровым Прежним,4,396928
2732930,багровом Прежнем,5,396928
2732931,багрового рогоплавчика,1,396929
2732932,багровому рогоплавчику,2,396929
2732933,багрового рогоплавчика,3,396929
2732934,багровым рогоплавчиком,4,396929
2732935,багровом рогоплавчике,5,396929
2732936,Баззальта,1,396930
2732937,Баззальту,2,396930
2732938,Баззальта,3,396930
2732939,Баззальтом,4,396930
2732940,Баззальте,5,396930
2732941,базовых испарений,1,396931
2732942,базовым испарениям,2,396931
2732943,базовые испарения,3,396931
2732944,базовыми испарениями,4,396931
2732945,базовых испарениях,5,396931
2732946,Бантаны,1,396932
2732947,Бантане,2,396932
2732948,Бантану,3,396932
2732949,Бантаной,4,396932
2732950,Бантане,5,396932
2732951,барабана Джарабана,1,396933
2732952,барабану Джарабана,2,396933
2732953,барабан Джарабана,3,396933
2732954,барабаном Джарабана,4,396933
2732955,барабане Джарабана,5,396933
2732956,барабанов из дикой шкуры,1,396934
2732957,барабанам из дикой шкуры,2,396934
2732958,барабаны из дикой шкуры,3,396934
2732959,барабанами из дикой шкуры,4,396934
2732960,барабанах из дикой шкуры,5,396934
2732961,Бастиона Серного гарнизона,1,396935
2732962,Бастиону Серного гарнизона,2,396935
2732963,Бастион Серного гарнизона,3,396935
2732964,Бастионом Серного гарнизона,4,396935
2732965,Бастионе Серного гарнизона,5,396935
2732966,Бастион Серного гарнизона подвергается,8,396935
2732967,в Бастион Серного гарнизона,9,396935
2732968,в Бастионе Серного гарнизона,10,396935
2732969,бдительного распорядителя,1,396936
2732970,бдительному распорядителю,2,396936
2732971,бдительного распорядителя,3,396936
2732972,бдительным распорядителем,4,396936
2732973,бдительном распорядителе,5,396936
2732974,бдительного феникса,1,396937
2732975,бдительному фениксу,2,396937
2732976,бдительного феникса,3,396937
2732977,бдительным фениксом,4,396937
2732978,бдительном фениксе,5,396937
2732979,Бее'лиала,1,396938
2732980,Бее'лиалу,2,396938
2732981,Бее'лиала,3,396938
2732982,Бее'лиалом,4,396938
2732983,Бее'лиале,5,396938
2732984,Беккита,1,396939
2732985,Беккиту,2,396939
2732986,Беккита,3,396939
2732987,Беккитом,4,396939
2732988,Бекките,5,396939
2732989,Бенджамина Задачера,1,396940
2732990,Бенджамину Задачеру,2,396940
2732991,Бенджамина Задачера,3,396940
2732992,Бенджамином Задачером,4,396940
2732993,Бенджамине Задачере,5,396940
2732994,беспросветной искрицы,1,396941
2732995,беспросветной искрице,2,396941
2732996,беспросветную искрицу,3,396941
2732997,беспросветной искрицей,4,396941
2732998,беспросветной искрице,5,396941
2732999,беспросветной королевы,1,396942
2733000,беспросветной королеве,2,396942
2733001,беспросветную королеву,3,396942
2733002,беспросветной королевой,4,396942
2733003,беспросветной королеве,5,396942
2733004,беспросветного бражника,1,396943
2733005,беспросветному бражнику,2,396943
2733006,беспросветного бражника,3,396943
2733007,беспросветным бражником,4,396943
2733008,беспросветном бражнике,5,396943
2733009,беспросветного мотылька,1,396944
2733010,беспросветному мотыльку,2,396944
2733011,беспросветного мотылька,3,396944
2733012,беспросветным мотыльком,4,396944
2733013,беспросветном мотыльке,5,396944
2733014,беспросветного пылевика,1,396945
2733015,беспросветному пылевику,2,396945
2733016,беспросветного пылевика,3,396945
2733017,беспросветным пылевиком,4,396945
2733018,беспросветном пылевике,5,396945
2733019,беспросветного светня,1,396946
2733020,беспросветному светню,2,396946
2733021,беспросветного светня,3,396946
2733022,беспросветным светнем,4,396946
2733023,беспросветном светне,5,396946
2733024,Бешенства Фиракка,1,396947
2733025,Бешенству Фиракка,2,396947
2733026,Бешенство Фиракка,3,396947
2733027,Бешенством Фиракка,4,396947
2733028,Бешенстве Фиракка,5,396947
2733029,Бибс,1,396948
2733030,Бибс,2,396948
2733031,Бибс,3,396948
2733032,Бибс,4,396948
2733033,Бибс,5,396948
2733034,Билли Брайтли,1,396949
2733035,Билли Брайтли,2,396949
2733036,Билли Брайтли,3,396949
2733037,Билли Брайтли,4,396949
2733038,Билли Брайтли,5,396949
2733039,Билли Винтоверт,1,396950
2733040,Билли Винтоверт,2,396950
2733041,Билли Винтоверт,3,396950
2733042,Билли Винтоверт,4,396950
2733043,Билли Винтоверт,5,396950
2733044,Бирна,1,396951
2733045,Бирну,2,396951
2733046,Бирна,3,396951
2733047,Бирном,4,396951
2733048,Бирне,5,396951
2733049,битумной ямы,1,396952
2733050,битумной яме,2,396952
2733051,битумную яму,3,396952
2733052,битумной ямой,4,396952
2733053,битумной яме,5,396952
2733054,благовоний ниффов,1,396953
2733055,благовониям ниффов,2,396953
2733056,благовония ниффов,3,396953
2733057,благовониями ниффов,4,396953
2733058,благовониях ниффов,5,396953
2733059,благовонного угля,1,396954
