ID,DeclinedWord,CaseIndex,DeclinedWordID
2668492,Адарена Тораза,1,385889
2668493,Адарену Торазу,2,385889
2668494,Адарена Тораза,3,385889
2668495,Адареном Торазом,4,385889
2668496,Адарене Торазе,5,385889
2668497,Адарен Тораз,6,385889
2668498,Аетейли,1,385890
2668499,Аетейли,2,385890
2668500,Аетейль,3,385890
2668501,Аетейлью,4,385890
2668502,Аетейли,5,385890
2668503,Аетейль,6,385890
2668504,Азарин,1,385891
2668505,Азарин,2,385891
2668506,Азарин,3,385891
2668507,Азарин,4,385891
2668508,Азарин,5,385891
2668509,Азарин,6,385891
2668510,Айлит Горный Бриз,1,385892
2668511,Айлит Горный Бриз,2,385892
2668512,Айлит Горный Бриз,3,385892
2668513,Айлит Горный Бриз,4,385892
2668514,Айлит Горный Бриз,5,385892
2668515,Айлит Горный Бриз,6,385892
2668516,алгет'арской заклинательницы,1,385893
2668517,алгет'арской заклинательнице,2,385893
2668518,алгет'арскую заклинательницу,3,385893
2668519,алгет'арской заклинательницей,4,385893
2668520,алгет'арской заклинательнице,5,385893
2668521,алгет'арская заклинательница,6,385893
2668522,алгет'арской первокурсницы,1,385894
2668523,алгет'арской первокурснице,2,385894
2668524,алгет'арскую первокурсницу,3,385894
2668525,алгет'арской первокурсницей,4,385894
2668526,алгет'арской первокурснице,5,385894
2668527,алгет'арская первокурсница,6,385894
2668528,алгет'арского рыцаря эха,1,385895
2668529,алгет'арскому рыцарю эха,2,385895
2668530,алгет'арского рыцаря эха,3,385895
2668531,алгет'арским рыцарем эха,4,385895
2668532,алгет'арском рыцаре эха,5,385895
2668533,алгет'арский рыцарь эха,6,385895
2668534,алгет'арского целителя,1,385896
2668535,алгет'арскому целителю,2,385896
2668536,алгет'арского целителя,3,385896
2668537,алгет'арским целителем,4,385896
2668538,алгет'арском целителе,5,385896
2668539,алгет'арский целитель,6,385896
2668540,Аллика,1,385897
2668541,Аллику,2,385897
2668542,Аллика,3,385897
2668543,Алликом,4,385897
2668544,Аллике,5,385897
2668545,Аллик,6,385897
2668546,Алрегосы,1,385898
2668547,Алрегосе,2,385898
2668548,Алрегосу,3,385898
2668549,Алрегосой,4,385898
2668550,Алрегосе,5,385898
2668551,Алрегоса,6,385898
2668552,алхимика Флегмоглотки,1,385899
2668553,алхимику Флегмоглотке,2,385899
2668554,алхимика Флегмоглотку,3,385899
2668555,алхимиком Флегмоглоткой,4,385899
2668556,алхимике Флегмоглотке,5,385899
2668557,алхимик Флегмоглотка,6,385899
2668558,Андантенорму,1,385900
2668559,Андантенорму,2,385900
2668560,Андантенорму,3,385900
2668561,Андантенорму,4,385900
2668562,Андантенорму,5,385900
2668563,Андантенорму,6,385900
2668564,Андорис,1,385901
2668565,Андорис,2,385901
2668566,Андорис,3,385901
2668567,Андорис,4,385901
2668568,Андорис,5,385901
2668569,Андорис,6,385901
2668570,анклава директора,1,385902
2668571,анклаву директора,2,385902
2668572,анклав директора,3,385902
2668573,анклавом директора,4,385902
2668574,анклаве директора,5,385902
2668575,анклав директора,6,385902
2668576,Антуки,1,385903
2668577,Антуке,2,385903
2668578,Антуку,3,385903
2668579,Антукой,4,385903
2668580,Антуке,5,385903
2668581,Антука,6,385903
2668582,Аоны Касельдри,1,385904
2668583,Аоне Касельдри,2,385904
2668584,Аону Касельдри,3,385904
2668585,Аоной Касельдри,4,385904
2668586,Аоне Касельдри,5,385904
2668587,Аона Касельдри,6,385904
2668588,арвилло-волногонов,1,385905
2668589,арвилло-волногонам,2,385905
2668590,арвилло-волногонов,3,385905
2668591,арвилло-волногонами,4,385905
2668592,арвилло-волногонах,5,385905
2668593,арвилло-волногоны,6,385905
2668594,аргали,1,385906
2668595,аргали,2,385906
2668596,аргали,3,385906
2668597,аргали,4,385906
2668598,аргали,5,385906
2668599,аргали,6,385906
2668600,аркбаллисты,1,385907
2668601,аркбаллисте,2,385907
2668602,аркбаллисту,3,385907
2668603,аркбаллистой,4,385907
2668604,аркбаллисте,5,385907
2668605,аркбаллиста,6,385907
2668606,арфы Рубинового Пира,1,385908
2668607,арфе Рубинового Пира,2,385908
2668608,арфу Рубинового Пира,3,385908
2668609,арфой Рубинового Пира,4,385908
2668610,арфе Рубинового Пира,5,385908
2668611,арфа Рубинового Пира,6,385908
2668612,археолога экспедиции,1,385909
2668613,археологу экспедиции,2,385909
2668614,археолога экспедиции,3,385909
2668615,археологом экспедиции,4,385909
2668616,археологе экспедиции,5,385909
